bottled beer,,,,,,,,,,,,,,,,,,,,,,
frankfurter,rolls/buns,soda,specialty bar,,,,,,,,,,,,,,,,,,,
sausage,,,,,,,,,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,,,,,
soda,seasonal products,,,,,,,,,,,,,,,,,,,,,
onions,whole milk,domestic eggs,sugar,hygiene articles,light bulbs,,,,,,,,,,,,,,,,,
root vegetables,other vegetables,yogurt,processed cheese,pickled vegetables,newspapers,,,,,,,,,,,,,,,,,
other vegetables,,,,,,,,,,,,,,,,,,,,,,
chewing gum,specialty chocolate,,,,,,,,,,,,,,,,,,,,,
fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,
pork,berries,onions,,,,,,,,,,,,,,,,,,,,
dessert,spread cheese,pastry,soda,seasonal products,,,,,,,,,,,,,,,,,,
flour,sugar,,,,,,,,,,,,,,,,,,,,,
tropical fruit,pip fruit,whole milk,flower soil/fertilizer,,,,,,,,,,,,,,,,,,,
pip fruit,berries,yogurt,,,,,,,,,,,,,,,,,,,,
yogurt,margarine,,,,,,,,,,,,,,,,,,,,,
ice cream,,,,,,,,,,,,,,,,,,,,,,
pastry,,,,,,,,,,,,,,,,,,,,,,
whole milk,cereals,,,,,,,,,,,,,,,,,,,,,
citrus fruit,packaged fruit/vegetables,yogurt,white wine,long life bakery product,,,,,,,,,,,,,,,,,,
onions,whipped/sour cream,coffee,fruit/vegetable juice,flower (seeds),,,,,,,,,,,,,,,,,,
berries,butter,domestic eggs,soda,red/blush wine,,,,,,,,,,,,,,,,,,
tropical fruit,,,,,,,,,,,,,,,,,,,,,,
bottled water,white wine,,,,,,,,,,,,,,,,,,,,,
whole milk,margarine,,,,,,,,,,,,,,,,,,,,,
UHT-milk,,,,,,,,,,,,,,,,,,,,,,
pork,whole milk,white bread,pastry,specialty fat,sweet spreads,female sanitary products,,,,,,,,,,,,,,,,
pastry,soda,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,hard cheese,long life bakery product,cooking chocolate,hygiene articles,,,,,,,,,,,,,,,,,
frozen meals,soda,,,,,,,,,,,,,,,,,,,,,
root vegetables,whole milk,curd,,,,,,,,,,,,,,,,,,,,
soda,,,,,,,,,,,,,,,,,,,,,,
chicken,root vegetables,herbs,other vegetables,canned beer,liquor (appetizer),shopping bags,,,,,,,,,,,,,,,,
dessert,frozen meals,soda,seasonal products,,,,,,,,,,,,,,,,,,,
sausage,specialty bar,,,,,,,,,,,,,,,,,,,,,
other vegetables,whole milk,yogurt,beverages,hard cheese,fruit/vegetable juice,,,,,,,,,,,,,,,,,
soda,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,
beef,cat food,newspapers,,,,,,,,,,,,,,,,,,,,
berries,packaged fruit/vegetables,yogurt,rolls/buns,misc. beverages,,,,,,,,,,,,,,,,,,
ham,whole milk,rolls/buns,bottled water,white wine,,,,,,,,,,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,
berries,whipped/sour cream,domestic eggs,,,,,,,,,,,,,,,,,,,,
meat,chicken,other vegetables,whole milk,,,,,,,,,,,,,,,,,,,
coffee,soda,canned beer,,,,,,,,,,,,,,,,,,,,
long life bakery product,,,,,,,,,,,,,,,,,,,,,,
whole milk,beverages,brown bread,pastry,specialty chocolate,,,,,,,,,,,,,,,,,,
root vegetables,whole milk,yogurt,brown bread,pastry,specialty chocolate,candy,,,,,,,,,,,,,,,,
